LET;IntFlux;DiffFlux
4.64945e+01;2.64499e-02;2.04405e-04
4.70153e+01;2.63440e-02;1.99593e-04
4.75419e+01;2.62395e-02;1.63747e-04
4.80744e+01;2.61528e-02;1.41041e-04
4.86128e+01;2.60773e-02;1.35962e-04
4.91573e+01;2.60036e-02;1.27801e-04
4.97079e+01;2.59337e-02;1.20053e-04
5.02646e+01;2.58672e-02;1.20053e-04
5.08276e+01;2.58000e-02;1.19736e-04
5.13969e+01;2.57322e-02;1.10448e-04
5.19726e+01;2.56690e-02;1.09944e-04
5.25547e+01;2.56053e-02;1.09697e-04
5.31434e+01;2.55411e-02;1.01540e-04
5.37386e+01;2.54810e-02;9.63153e-05
5.43405e+01;2.54234e-02;9.63153e-05
5.49491e+01;2.53651e-02;9.63153e-05
5.55646e+01;2.53061e-02;9.42886e-05
5.61869e+01;2.52478e-02;8.66877e-05
5.68163e+01;2.51935e-02;8.66877e-05
5.74526e+01;2.51387e-02;8.16048e-05
5.80961e+01;2.50864e-02;6.75499e-05
5.87468e+01;2.50427e-02;6.72347e-05
5.94048e+01;2.49987e-02;6.65415e-05
6.00702e+01;2.49547e-02;8.84568e-04
6.07430e+01;2.43629e-02;1.45263e-03
6.14234e+01;2.33801e-02;9.34007e-04
6.21113e+01;2.27411e-02;6.13131e-04
6.28070e+01;2.23169e-02;5.59159e-04
6.35105e+01;2.19258e-02;4.57665e-04
6.42218e+01;2.16020e-02;3.74522e-04
6.49411e+01;2.13341e-02;3.37041e-04
6.56685e+01;2.10903e-02;3.06045e-04
6.64040e+01;2.08665e-02;2.90766e-04
6.71478e+01;2.06514e-02;2.60057e-04
6.78999e+01;2.04569e-02;2.51263e-04
6.86604e+01;2.02669e-02;2.32985e-04
6.94294e+01;2.00887e-02;2.05967e-04
7.02071e+01;1.99294e-02;1.84369e-04
7.09934e+01;1.97853e-02;1.56127e-04
7.17886e+01;1.96618e-02;1.46284e-04
7.25926e+01;1.95448e-02;1.46284e-04
7.34057e+01;1.94266e-02;1.41061e-04
7.42279e+01;1.93112e-02;1.27773e-04
7.50593e+01;1.92056e-02;1.26439e-04
7.59000e+01;1.90999e-02;1.25455e-04
7.67501e+01;1.89938e-02;1.11507e-04
7.76097e+01;1.88985e-02;1.04007e-04
7.84790e+01;1.88086e-02;1.04007e-04
7.93580e+01;1.87177e-02;1.04007e-04
8.02469e+01;1.86258e-02;9.35027e-05
8.11457e+01;1.85422e-02;8.15752e-05
8.20545e+01;1.84685e-02;3.42484e-04
8.29736e+01;1.81555e-02;2.98252e-04
8.39029e+01;1.78798e-02;2.33242e-04
8.48427e+01;1.76619e-02;1.84892e-04
8.57930e+01;1.74871e-02;1.73779e-04
8.67539e+01;1.73211e-02;1.48962e-04
8.77256e+01;1.71771e-02;1.37051e-04
8.87082e+01;1.70432e-02;1.26220e-04
8.97017e+01;1.69185e-02;1.03246e-04
9.07064e+01;1.68154e-02;9.96748e-05
9.17224e+01;1.67147e-02;9.43999e-05
9.27497e+01;1.66182e-02;9.18329e-05
9.37886e+01;1.65233e-02;8.60094e-05
9.48390e+01;1.64335e-02;8.15393e-05
9.59013e+01;1.63474e-02;7.95480e-05
9.69754e+01;1.62624e-02;7.37677e-05
9.80616e+01;1.61827e-02;7.27862e-05
9.91599e+01;1.61032e-02;7.17502e-05
1.00271e+02;1.60240e-02;6.69063e-05
1.01394e+02;1.59493e-02;5.86861e-05
1.02529e+02;1.58830e-02;5.59667e-05
1.03678e+02;1.58191e-02;5.59667e-05
1.04839e+02;1.57544e-02;5.35024e-05
1.06013e+02;1.56920e-02;5.26511e-05
1.07201e+02;1.56298e-02;7.74824e-04
1.08401e+02;1.47046e-02;6.16825e-04
1.09615e+02;1.39599e-02;4.53425e-04
1.10843e+02;1.34063e-02;3.33812e-04
1.12085e+02;1.29942e-02;3.04173e-04
1.13340e+02;1.26145e-02;2.39646e-04
1.14610e+02;1.23119e-02;2.10892e-04
1.15893e+02;1.20427e-02;1.81397e-04
1.17191e+02;1.18086e-02;1.69226e-04
1.18504e+02;1.15877e-02;1.59182e-04
1.19831e+02;1.13776e-02;1.45555e-04
1.21173e+02;1.11833e-02;1.38254e-04
1.22531e+02;1.09967e-02;1.23165e-04
1.23903e+02;1.08286e-02;1.10342e-04
1.25291e+02;1.06763e-02;1.00486e-04
1.26694e+02;1.05361e-02;8.45371e-05
1.28113e+02;1.04168e-02;8.25209e-05
1.29548e+02;1.02991e-02;8.21033e-05
1.30999e+02;1.01806e-02;7.72007e-05
1.32466e+02;1.00679e-02;7.13709e-05
1.33950e+02;9.96265e-03;7.12373e-05
1.35450e+02;9.85636e-03;7.81358e-05
1.36967e+02;9.73848e-03;7.51066e-05
1.38501e+02;9.62390e-03;6.66031e-05
1.40053e+02;9.52116e-03;6.34608e-05
1.41621e+02;9.42216e-03;6.26938e-05
1.43208e+02;9.32327e-03;5.42048e-05
1.44812e+02;9.23681e-03;5.02774e-05
1.46434e+02;9.15572e-03;4.93097e-05
1.48074e+02;9.07529e-03;4.79039e-05
1.49732e+02;8.99629e-03;4.77420e-05
1.51409e+02;8.91667e-03;4.65526e-05
1.53105e+02;8.83816e-03;4.62342e-05
1.54820e+02;8.75932e-03;4.59814e-05
1.56554e+02;8.68002e-03;4.54796e-05
1.58308e+02;8.60072e-03;3.75007e-05
1.60081e+02;8.53460e-03;2.94637e-05
1.61874e+02;8.48206e-03;2.93736e-05
1.63687e+02;8.42910e-03;2.93736e-05
1.65520e+02;8.37555e-03;2.93060e-05
1.67374e+02;8.32152e-03;9.61768e-05
1.69249e+02;8.14223e-03;9.42472e-05
1.71144e+02;7.96456e-03;7.32811e-05
1.73061e+02;7.82487e-03;5.88971e-05
1.75000e+02;7.71134e-03;5.56250e-05
1.76960e+02;7.60292e-03;4.89520e-05
1.78942e+02;7.50644e-03;4.54523e-05
1.80946e+02;7.41585e-03;3.87017e-05
1.82973e+02;7.33785e-03;3.69499e-05
1.85022e+02;7.26254e-03;3.54088e-05
