Energy;IntFlux;DiffFlux
2.29201e+00;2.16055e-05;2.69286e+00
2.32580e+00;2.18445e-05;2.69286e+00
2.36009e+00;2.20925e-05;2.69286e+00
2.39489e+00;2.23500e-05;2.69286e+00
2.43019e+00;2.26174e-05;2.69286e+00
2.46602e+00;2.28954e-05;2.69286e+00
2.50238e+00;2.31794e-05;2.69286e+00
2.53927e+00;2.33986e-05;2.69286e+00
2.57671e+00;2.36254e-05;2.69286e+00
2.61470e+00;2.38599e-05;2.69285e+00
2.65325e+00;2.41027e-05;2.69285e+00
2.69237e+00;2.43542e-05;2.69285e+00
2.73206e+00;2.46147e-05;2.69285e+00
2.77234e+00;2.48848e-05;2.69285e+00
2.81321e+00;2.51649e-05;2.69285e+00
2.85469e+00;2.54557e-05;2.69285e+00
2.89677e+00;2.57577e-05;2.69285e+00
2.93948e+00;2.60715e-05;2.69285e+00
2.98282e+00;2.63978e-05;2.69285e+00
3.02680e+00;2.66730e-05;2.69284e+00
3.07142e+00;2.69155e-05;2.69284e+00
3.11670e+00;2.71661e-05;2.69284e+00
3.16265e+00;2.74252e-05;2.69284e+00
3.20928e+00;2.76931e-05;2.69284e+00
3.25660e+00;2.79704e-05;2.69284e+00
3.30461e+00;2.82574e-05;2.69284e+00
3.35333e+00;2.85547e-05;2.69284e+00
3.40277e+00;2.88627e-05;2.69283e+00
3.45294e+00;2.91821e-05;2.69283e+00
3.50384e+00;2.95134e-05;2.69283e+00
3.55550e+00;2.98574e-05;2.69283e+00
3.60792e+00;3.02147e-05;2.69283e+00
3.66111e+00;3.05859e-05;2.69283e+00
3.71509e+00;3.09721e-05;2.69282e+00
3.76986e+00;3.13739e-05;2.69282e+00
3.82544e+00;3.17923e-05;2.69282e+00
3.88184e+00;3.22285e-05;2.69282e+00
3.93907e+00;3.26833e-05;2.69282e+00
3.99715e+00;3.31581e-05;2.69282e+00
4.05608e+00;3.34606e-05;2.69281e+00
4.11588e+00;3.37630e-05;2.69281e+00
